Zm00001eb000010	2484
Zm00001eb000020	134
Zm00001eb000030	4
Zm00001eb000040	6
Zm00001eb000050	0
Zm00001eb000060	1437
Zm00001eb000070	3
Zm00001eb000080	1987
Zm00001eb000090	0
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	4
Zm00001eb000130	0
Zm00001eb000140	0
Zm00001eb000150	41
Zm00001eb000160	135
Zm00001eb000170	2849
Zm00001eb000180	85
Zm00001eb000190	2489
Zm00001eb000200	15
Zm00001eb000210	1607
Zm00001eb000220	2758
Zm00001eb000230	1967
Zm00001eb000240	7369
Zm00001eb000250	0
Zm00001eb000260	0
Zm00001eb000270	1425
Zm00001eb000280	131
Zm00001eb000290	0
Zm00001eb000300	417
Zm00001eb000310	953
Zm00001eb000320	2780
Zm00001eb000330	407
Zm00001eb000340	3467
Zm00001eb000350	0
Zm00001eb000360	0
Zm00001eb000370	0
Zm00001eb000380	0
Zm00001eb000390	0
Zm00001eb000400	4
Zm00001eb000410	0
Zm00001eb000420	1102
Zm00001eb000430	0
Zm00001eb000440	0
Zm00001eb000450	0
Zm00001eb000460	42
Zm00001eb000470	2328
Zm00001eb000480	20897
Zm00001eb000490	103
Zm00001eb000500	436
Zm00001eb000510	7127
Zm00001eb000520	3945
Zm00001eb000530	0
Zm00001eb000540	0
Zm00001eb000550	938
Zm00001eb000560	0
Zm00001eb000570	160
Zm00001eb000580	0
Zm00001eb000590	2033
Zm00001eb000600	0
Zm00001eb000610	0
Zm00001eb000620	15659
Zm00001eb000630	5
Zm00001eb000640	451
Zm00001eb000650	93
Zm00001eb000660	0
Zm00001eb000670	1914
Zm00001eb000680	25
Zm00001eb000690	1083
Zm00001eb000700	2480
Zm00001eb000710	606
Zm00001eb000720	170
Zm00001eb000730	0
Zm00001eb000740	5106
Zm00001eb000750	2825
Zm00001eb000760	1260
Zm00001eb000770	6224
Zm00001eb000780	2535
Zm00001eb000790	485
Zm00001eb000800	3127
Zm00001eb000810	0
Zm00001eb000820	1059
Zm00001eb000830	2
Zm00001eb000840	36
Zm00001eb000850	13210
Zm00001eb000860	2384
Zm00001eb000870	3507
Zm00001eb000880	4
Zm00001eb000890	0
Zm00001eb000900	43
Zm00001eb000910	718
Zm00001eb000920	3151
Zm00001eb000930	988
Zm00001eb000940	52
Zm00001eb000950	3808
Zm00001eb000960	224
Zm00001eb000970	872
Zm00001eb000980	1773
Zm00001eb000990	86
Zm00001eb001000	3679
Zm00001eb001010	493
Zm00001eb001020	1835
Zm00001eb001030	0
Zm00001eb001040	2385
Zm00001eb001050	618
Zm00001eb001060	185
Zm00001eb001070	3254
Zm00001eb001080	103
Zm00001eb001090	0
Zm00001eb001100	0
Zm00001eb001110	2801
Zm00001eb001120	3851
Zm00001eb001130	2524
Zm00001eb001140	1103
Zm00001eb001150	806
Zm00001eb001160	27
Zm00001eb001170	6117
Zm00001eb001180	5005
Zm00001eb001190	39
Zm00001eb001200	4406
Zm00001eb001210	1
Zm00001eb001220	14
Zm00001eb001230	0
Zm00001eb001240	2437
Zm00001eb001250	0
Zm00001eb001260	645
Zm00001eb001270	1339
Zm00001eb001280	36
Zm00001eb001290	1531
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	158
Zm00001eb001350	547
Zm00001eb001360	1029
Zm00001eb001370	1
Zm00001eb001380	5
Zm00001eb001390	270
Zm00001eb001400	5646
Zm00001eb001410	0
Zm00001eb001420	0
Zm00001eb001430	5261
Zm00001eb001440	248
Zm00001eb001450	0
Zm00001eb001460	333
Zm00001eb001470	513
Zm00001eb001480	0
Zm00001eb001490	1948
Zm00001eb001500	69
Zm00001eb001510	49
Zm00001eb001520	158
Zm00001eb001530	913
Zm00001eb001540	0
Zm00001eb001550	6
Zm00001eb001560	295
Zm00001eb001570	4268
Zm00001eb001580	0
Zm00001eb001590	1551
Zm00001eb001600	811
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	0
Zm00001eb001640	4699
Zm00001eb001650	3436
Zm00001eb001660	0
Zm00001eb001670	2178
Zm00001eb001680	5233
Zm00001eb001690	0
Zm00001eb001700	615
Zm00001eb001710	1249
Zm00001eb001720	188
Zm00001eb001730	0
Zm00001eb001740	38
Zm00001eb001750	53
Zm00001eb001760	797
Zm00001eb001770	15756
Zm00001eb001780	2775
